,nam,address,telephone,city
0,Pharmacie El Wafa,"Pharmacie El Wafa, 25 bis, bd abderrah... ",052822...,agadir
1,Pharmacie Nisrine,"Pharmacie Nisrine, 58, hay bensergao, ... ",052828...,agadir
2,Pharmacie El Hassania,"Pharmacie El Hassania, 56  lotiss. has... ",052820...,agadir
3,Pharmacie Valtur,"Pharmacie Valtur, 1, secteur touristiq... ",052882...,agadir
4,Pharmacie Tildi,"Pharmacie Tildi, lotiss. tildi, rue ou... ",052882...,agadir
5,Pharmacie Cadi Ben Driss,"Pharmacie Cadi Ben Driss, hay dakhla, ... ",052823...,agadir
6,Pharmacie Ouahbi,"Pharmacie Ouahbi, 56, rue al wahda al ... ",052823...,agadir
7,Pharmacie Chadia,"Pharmacie Chadia, lotiss. mohammadia, ... ",052822...,agadir
8,Pharmacie Tikida,"Pharmacie Tikida, hay al houda, imm. t... ",052832...,agadir
9,Pharmacie Al Haad,"Pharmacie Al Haad, anza al oulya imm9 ... ",052820...,agadir
10,Pharmacie Amrani,"Pharmacie Amrani, n°1, parcelle 1843,... ",052828...,agadir
11,Pharmacie Iswane,"Pharmacie Iswane, rue jaâfar essadik ... ",053767...,agadir
12,Pharmacie Secteur 15,"Pharmacie Secteur 15, 10 avenue mohame... ",053002...,agadir
13,Pharmacie Moulay Ismail,"Pharmacie Moulay Ismail,  
24.av mly... ",053720...,casaqblanca
14,Pharmacie L'enfant, ,053765...,casaqblanca
15,Pharmacie Marassa,"Pharmacie Marassa, angle avenue misr e... ",053720...,casaqblanca
16,Pharmacie Al Bouchra, ,053779...,casaqblanca
17,Pharmacie Kasry,"Pharmacie Kasry, 90 amal 5 complément... ",053779...,casaqblanca
18,Pharmacie Chifae Oulad Maala,"Pharmacie Chifae Oulad Maala, hay ain ... ",066227...,casaqblanca
19,Pharmacie Al Farabi,"Pharmacie Al Farabi, lotissement al ha... ",053562...,casaqblanca
20,Pharmacie Blida,"Pharmacie Blida, n°30 chouwara. hay b... ",063277...,casaqblanca
21,Pharmacie Cotef,"Pharmacie Cotef, lotissement. el fath ... ",053573...,casaqblanca
22,Pharmacie Chaymae,"Pharmacie Chaymae, lotissement al madi... ",053572...,casaqblanca
23,Pharmacie Saida,"Pharmacie Saida, hay saida   résid. s... ",053564...,casaqblanca
24,Pharmacie Saada,"Pharmacie Saada, 3, place des arènes,... ",053936...,casaqblanca
25,Pharmacie Ain Hayyani,"Pharmacie Ain Hayyani, avenue imam kas... ",053993...,casaqblanca
26,Pharmacie Ibn Annafis,"Pharmacie Ibn Annafis, avenue des far,... ",053995...,rabat
27,Pharmacie El Mesnaoui,"Pharmacie El Mesnaoui, sidi driss mers... ",053930...,rabat
28,Pharmacie La Raison,"Pharmacie La Raison, avenue mossab ibn... ",053942...,rabat
29,Pharmacie Yamania,"Pharmacie Yamania, 139, avenue des far... ",053938...,rabat
30,Pharmacie Aazib Abakkiwe,"Pharmacie Aazib Abakkiwe, reu aazib ab... ",052023...,rabat
31,Pharmacie Zahara,"Pharmacie Zahara, avenue zahara, rue 4... ",053936...,rabat
32,Pharmacie Ain Hayyani,"Pharmacie Ain Hayyani, avenue imam kas... ",053993...,rabat
33,Pharmacie Ibn Annafis,"Pharmacie Ibn Annafis, avenue des far,... ",053995...,rabat
34,Pharmacie La Raison,"Pharmacie La Raison, avenue mossab ibn... ",053942...,rabat
35,Pharmacie Zahara,"Pharmacie Zahara, avenue zahara, rue 4... ",053936...,rabat
36,Pharmacie Yamania,"Pharmacie Yamania, 139, avenue des far... ",053938...,rabat
37,Pharmacie El Mesnaoui,"Pharmacie El Mesnaoui, sidi driss mers... ",053930...,rabat
38,Pharmacie Aazib Abakkiwe,"Pharmacie Aazib Abakkiwe, reu aazib ab... ",052023...,rabat
39,Pharmacie Saada,"Pharmacie Saada, 3, place des arènes,... ",053936...,fes
40,Pharmacie Chakir,"Pharmacie Chakir, Kaouki , rue 1 n°10... ",052465...,fes
41,Pharmacie Ouikrane,"Pharmacie Ouikrane, 18  hay Bir Rami E... ",053760...,fes
42,Pharmacie les Orangers,"Pharmacie les Orangers, 2447   Jnane 2... ",070605...,fes
43,Pharmacie des Palmiers,"Pharmacie des Palmiers, rue Al Hizam, ... ",053738...,fes
44,Pharmacie Mly Youssef,"Pharmacie Mly Youssef,   bd. My Yousse... ",053528...,fes
45,Pharmacie Nassim,"Pharmacie Nassim, 244  lotiss. Nassim ... ",053521...,fes
46,Pharmacie Ibn Zohr,"Pharmacie Ibn Zohr,   lotiss. AlQods I... ",053521...,fes
47,Pharmacie la Kasbah, ,052488...,fes
48,Pharmacie la Renaissance,"Pharmacie la Renaissance, Bd Mohammed ... ",052488...,fes
49,Pharmacie l'Aéroport,"Pharmacie l'Aéroport, 52, lot El Wahd... ",052488...,fes
50,Pharmacie Itrane,"Pharmacie Itrane, bd Al Maghrib Al Ara... ",066984...,fes
51,Pharmacie Le Monde,"Pharmacie Le Monde, rue 10 n°67 , oul... ",053633...,fes
52,Pharmacie Ismailia,"Pharmacie Ismailia, 92, av. Abdelkhale... ",053633...,tanger
53,Pharmacie AlMahatta,"Pharmacie AlMahatta, 254  av Hassan II... ",053660...,tanger
54,Pharmacie Dar El Makhzen,"Pharmacie Dar El Makhzen, Douar Bouyza... ",053633...,tanger
55,Pharmacie Kachadiya,"Pharmacie Kachadiya, Douar Kachadia ... ",053660...,tanger
56,Pharmacie Taha Houssein,"Pharmacie Taha Houssein, av Prince Hé... ",053635...,tanger
